mode,questions,mean_judge_score,judge_score_ci95,mean_忠实性,mean_准确性,mean_完整性,mean_相关性,mean_简洁性,mean_latency_ms
embedding_nomic,10,1.48,0.782256,1.6,1.5,1.4,1.4,1.4,77663.5233
embedding_bge,10,2.645,1.022049,3.0,2.5,2.4,2.9,2.3,72233.9136
topk3,10,2.48,0.945665,2.7,2.3,2.1,2.9,2.6,48093.9089
topk5,10,2.715,1.055093,3.0,2.5,2.5,2.9,2.8,67604.7016
fallback_off,10,3.15,0.990614,3.4,3.0,2.9,3.6,2.8,71367.6134
threshold02,10,3.39,1.015172,3.6,3.3,3.1,3.8,3.1,68079.8942
threshold04,10,3.265,0.915489,3.6,3.1,2.9,3.7,3.0,64060.6033
chunk256,10,2.36,1.016117,2.5,2.3,2.1,2.7,2.2,49425.2193
chunk1024,20,2.705,0.8512,2.8,2.7,2.65,2.7,2.6,128863.74715
no_rag,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20379.67445
threshold05,10,2.875,1.078322,3.1,2.7,2.6,3.2,2.9,72782.0785
threshold06,10,2.32,0.973467,2.6,2.1,2.1,2.6,2.3,48837.9937
chunk1024_word10,10,2.82,1.195368,3.0,2.8,2.7,2.8,2.7,129882.0291
no_rag_word10,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20480.0812
