run_key,config,sample,action_precision,action_recall,action_f1,decision_precision,decision_recall,decision_f1,field_completeness,latency_ms,status,error
rules:meeting_20240601,rules,meeting_20240601.txt,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,22.223,ok,
rules:meeting_20240615,rules,meeting_20240615.txt,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,0.621,ok,
rules:meeting_20240620,rules,meeting_20240620.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.455,ok,
rules:meeting_20240625,rules,meeting_20240625.txt,0.4,1.0,0.5714285714285715,0.5,1.0,0.6666666666666666,1.0,1.012,ok,
rules:meeting_20240701,rules,meeting_20240701.txt,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.514,ok,
rules:meeting_20240705,rules,meeting_20240705.txt,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,1.0,0.465,ok,
rules:meeting_20240710,rules,meeting_20240710.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.769,ok,
rules:meeting_20240715,rules,meeting_20240715.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.471,ok,
rules:meeting_20240720,rules,meeting_20240720.txt,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.627,ok,
rules:meeting_20240725,rules,meeting_20240725.txt,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,1.0,0.505,ok,
llm:meeting_20240601,llm,meeting_20240601.txt,0.5,0.3333333333333333,0.4,0.5,0.5,0.5,1.0,35091.226,ok,
llm:meeting_20240615,llm,meeting_20240615.txt,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,19206.143,ok,
llm:meeting_20240620,llm,meeting_20240620.txt,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,19022.127,ok,
llm:meeting_20240625,llm,meeting_20240625.txt,1.0,1.0,1.0,0.0,0.0,0.0,1.0,18262.842,ok,
llm:meeting_20240701,llm,meeting_20240701.txt,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15290.53,ok,
llm:meeting_20240705,llm,meeting_20240705.txt,1.0,1.0,1.0,0.16666666666666666,1.0,0.2857142857142857,1.0,24243.789,ok,
llm:meeting_20240710,llm,meeting_20240710.txt,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15856.982,ok,
llm:meeting_20240715,llm,meeting_20240715.txt,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,1.0,16832.979,ok,
llm:meeting_20240720,llm,meeting_20240720.txt,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15967.6,ok,
llm:meeting_20240725,llm,meeting_20240725.txt,1.0,1.0,1.0,0.0,0.0,0.0,1.0,18839.326,ok,
llm_plus_rules:meeting_20240601,llm_plus_rules,meeting_20240601.txt,1.0,0.6666666666666666,0.8,0.5,0.5,0.5,1.0,18939.494,ok,
llm_plus_rules:meeting_20240615,llm_plus_rules,meeting_20240615.txt,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,19125.33,ok,
llm_plus_rules:meeting_20240620,llm_plus_rules,meeting_20240620.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15432.877,ok,
llm_plus_rules:meeting_20240625,llm_plus_rules,meeting_20240625.txt,1.0,1.0,1.0,0.0,0.0,0.0,1.0,16383.734,ok,
llm_plus_rules:meeting_20240701,llm_plus_rules,meeting_20240701.txt,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,15576.021,ok,
llm_plus_rules:meeting_20240705,llm_plus_rules,meeting_20240705.txt,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,1.0,19431.692,ok,
llm_plus_rules:meeting_20240710,llm_plus_rules,meeting_20240710.txt,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15799.524,ok,
llm_plus_rules:meeting_20240715,llm_plus_rules,meeting_20240715.txt,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,18075.79,ok,
llm_plus_rules:meeting_20240720,llm_plus_rules,meeting_20240720.txt,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,15188.142,ok,
llm_plus_rules:meeting_20240725,llm_plus_rules,meeting_20240725.txt,0.5,0.5,0.5,0.0,0.0,0.0,1.0,16592.831,ok,
