config_id,experiment,provider,chunk_size,top_k,threshold,fallback_top_n,questions,source_hit_rate,mean_recall_at_k,mean_mrr,mean_ndcg_at_k,mean_retrieved_count,mean_latency_ms
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,20,0.9,0.8125,0.795833,0.768785,5.0,2190.96045
embedding_bge,Embedding模型,bge-m3,512,5,0.3,1,20,1.0,0.9625,1.0,0.971149,5.0,2684.38165
topk3,检索策略,bge-m3,512,3,,0,20,1.0,0.920833,1.0,0.964911,3.0,14.1941
topk5,检索策略,bge-m3,512,5,,0,20,1.0,0.9625,1.0,0.971149,5.0,16.0268
topk5_threshold03,检索策略,bge-m3,512,5,0.3,1,20,1.0,0.9625,1.0,0.971149,5.0,15.75355
fallback_off,兜底机制,bge-m3,512,5,0.3,0,20,1.0,0.9625,1.0,0.971149,5.0,17.5122
fallback_on,兜底机制,bge-m3,512,5,0.3,1,20,1.0,0.9625,1.0,0.971149,5.0,15.61205
threshold02,相似度阈值,bge-m3,512,5,0.2,1,20,1.0,0.9625,1.0,0.971149,5.0,15.3529
threshold03,相似度阈值,bge-m3,512,5,0.3,1,20,1.0,0.9625,1.0,0.971149,5.0,17.95505
threshold04,相似度阈值,bge-m3,512,5,0.4,1,20,1.0,0.9625,1.0,0.971149,4.85,15.894
threshold05,阈值扩展,bge-m3,512,5,0.5,1,20,1.0,0.9625,1.0,0.971149,4.3,15.16395
threshold06,阈值扩展,bge-m3,512,5,0.6,1,20,1.0,0.95,1.0,0.96661,2.4,19.00275
threshold07,阈值扩展,bge-m3,512,5,0.7,1,20,1.0,0.833333,1.0,1.0,1.05,20.83925
chunk256,Chunk大小,bge-m3,256,5,0.3,1,20,1.0,0.9625,1.0,0.976483,5.0,2732.30055
chunk512,Chunk大小,bge-m3,512,5,0.3,1,20,1.0,0.9625,1.0,0.971149,5.0,16.1185
chunk1024,Chunk大小,bge-m3,1024,5,0.3,1,20,1.0,0.9875,1.0,0.982391,5.0,2725.57245
